date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:14:49	592015/592015	---M--	200	added ('OK')	application/pdf	etag:%229b997fb698dcc1:444%22	http://www.bridgemin.org/pdfs/2011SummerNewsletter.pdf	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/pdfs/2011SummerNewsletter.pdf	(from http://www.bridgemin.org/about/newsletters.html)
13:16:01	947357/947357	---M--	200	added ('OK')	application/pdf	etag:%229fc2f8a979ccb1:444%22	http://www.bridgemin.org/pdfs/2010FallNewsletter.pdf	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/pdfs/2010FallNewsletter.pdf	(from http://www.bridgemin.org/about/newsletters.html)
13:16:35	855630/855630	---M--	200	added ('OK')	application/pdf	etag:%22c97e9f651338cb1:444%22	http://www.bridgemin.org/pdfs/2010SummerNewsletter.pdf	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/pdfs/2010SummerNewsletter.pdf	(from http://www.bridgemin.org/about/newsletters.html)
13:17:44	2316399/2316399	---M--	200	added ('OK')	application/pdf	etag:%228a04e4db321cd1:444%22	http://www.bridgemin.org/pdfs/2012SpringNewsletter.pdf	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/pdfs/2012SpringNewsletter.pdf	(from http://www.bridgemin.org/about/newsletters.html)
13:19:34	1770489/1770489	---M--	200	added ('OK')	application/pdf	etag:%22a2a5f77baae1ca1:444%22	http://www.bridgemin.org/pdfs/2010WinterNewsletter.pdf	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/pdfs/2010WinterNewsletter.pdf	(from http://www.bridgemin.org/about/newsletters.html)
13:20:32	1037493/1037493	---M--	200	added ('OK')	application/pdf	etag:%22d286f968aae1ca1:444%22	http://www.bridgemin.org/pdfs/2009WinterNewsletter.pdf	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/pdfs/2009WinterNewsletter.pdf	(from http://www.bridgemin.org/about/newsletters.html)
13:20:43	1749510/1749510	---M--	200	added ('OK')	application/pdf	etag:%226f932b47aae1ca1:444%22	http://www.bridgemin.org/pdfs/2009FallNewsletter.pdf	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/pdfs/2009FallNewsletter.pdf	(from http://www.bridgemin.org/about/newsletters.html)
13:21:34	383892/383892	---M--	200	added ('OK')	application/pdf	etag:%2277dcc19aae1ca1:444%22	http://www.bridgemin.org/pdfs/2008SummerNewsletter.pdf	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/pdfs/2008SummerNewsletter.pdf	(from http://www.bridgemin.org/about/newsletters.html)
13:22:07	2061363/2061363	---M--	200	added ('OK')	application/pdf	etag:%22df49135daae1ca1:444%22	http://www.bridgemin.org/pdfs/2009SummerNewsletter.pdf	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/pdfs/2009SummerNewsletter.pdf	(from http://www.bridgemin.org/about/newsletters.html)
13:22:54	492997/492997	---M--	200	added ('OK')	application/pdf	etag:%22588bba3627bcf1:444%22	http://www.bridgemin.org/pdfs/2013AnnualReport.pdf	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/pdfs/2013AnnualReport.pdf	(from http://www.bridgemin.org/about/newsletters.html)
13:23:53	363965/363965	---M--	200	added ('OK')	application/pdf	etag:%22c229237cc615cd1:444%22	http://www.bridgemin.org/pdfs/2011AnnualReport.pdf	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/pdfs/2011AnnualReport.pdf	(from http://www.bridgemin.org/about/newsletters.html)
